;pharmacie;lien;adresse;coordonnee;telephone
129;Pharmacie AlOsra;https://www.telecontact.ma/annonceur/pharmacie-alosra-/2110222/casablanca.php; 52, bd Amgala - ex A ;33.540282420858446, -7.5812255108776885;05 22 21 71 92 
130;Pharmacie AlOukhoua;https://www.telecontact.ma/annonceur/pharmacie-aloukhoua-/3037757/casablanca.php;" 88, lotiss. Rakia , Ct rte 1100 lot ""G""";33.51363551777809, -7.6437354447875805;05 22 32 12 40 
131;Pharmacie AlQods;https://www.telecontact.ma/annonceur/pharmacie-alqods-/0281700/casablanca.php; 158, bd de la Grande Ceinture (h.Mohammadi) ;33.599536650, -7.625196360;05 22 63 05 40 
132;Pharmacie AlSham;https://www.telecontact.ma/annonceur/pharmacie-alsham-/3296275/casablanca.php; quartier Ahl Loghlam, Salam I D 34;33.584440369154585, -7.479250141772468;05 22 01 14 63 
133;Pharmacie AlWikaya;https://www.telecontact.ma/annonceur/pharmacie-alwikaya-/1420200/casablanca.php; 561, bd du Nil, hay Mabrouka;33.5662, -7.56463;05 22 37 32 16 
134;Pharmacie AlWissal;https://www.telecontact.ma/annonceur/pharmacie-alwissal-/3094634/casablanca.php; bd Dr Mohamed Jennaoui -ex Mostachfa Med V, projet Hassan II bloc 2 n°18;33.58745241219413, -7.555462324109164;05 22 63 66 33 
135;Pharmacie AlWouroud;https://www.telecontact.ma/annonceur/pharmacie-alwouroud-/2181578/casablanca.php; 67, rue Wouroude-ex Roses ;33.5664, -7.65245;05 22 36 84 30 
136;Pharmacie Alabe;https://www.telecontact.ma/annonceur/pharmacie-alabe-/3018294/casablanca.php; 48, lotiss. Salama , rte de Makro Sidi Maârouf;33.53359904952977, -7.6497831982970865;05 22 97 40 65 
137;Pharmacie Alahram;https://www.telecontact.ma/annonceur/pharmacie-alahram-/2110275/casablanca.php; 106, avenue Makdad Lahrizi hay AlHouda;33.537, -7.57332;05 22 57 88 98 
138;Pharmacie Alamana;https://www.telecontact.ma/annonceur/pharmacie-alamana-/2110152/casablanca.php; 13, rue Ennarjiss - ex Sarcelles, hay Erraha;33.5689, -7.65301;05 22 39 09 70 
139;Pharmacie Albadr;https://www.telecontact.ma/annonceur/pharmacie-albadr-/2172242/casablanca.php; 262, lotiss. Hadioui , Sidi Maârouf;33.508390046111806, -7.6549139271452304;05 22 58 49 87 
140;Pharmacie Albaraka;https://www.telecontact.ma/annonceur/pharmacie-albaraka-/2110021/casablanca.php; 253, avenue du Cdt Driss Lharti - ex A, hay AlBaraka;33.5455, -7.57786;05 22 70 46 93 
141;Pharmacie Albert Premier;https://www.telecontact.ma/annonceur/pharmacie-albert-premier-/2182646/casablanca.php; 8, rue de Craonne ;33.5867, -7.65332;05 22 44 51 75 
142;Pharmacie Alboudour;https://www.telecontact.ma/annonceur/pharmacie-alboudour-/2165253/casablanca.php; 115, rue de Sebta ;33.5792, -7.61752;05 22 86 04 68 
143;Pharmacie Alexandrie;https://www.telecontact.ma/annonceur/pharmacie-alexandrie-/2129484/casablanca.php; 35, bd d' Alexandrie ;33.5697, -7.61489;05 22 86 15 13 
144;Pharmacie Alfalah;https://www.telecontact.ma/annonceur/pharmacie-alfalah-/0281200/casablanca.php; 105, avenue Akid Allam, hay Alfalah;33.5585, -7.54961;05 22 70 49 61 
145;Pharmacie Alfath;https://www.telecontact.ma/annonceur/pharmacie-alfath-/0287000/casablanca.php; 94, bd El Kanadissa -ex Pylones, Bine Lemdoune;33.5565, -7.60373;05 22 21 06 82 
146;Pharmacie Alhambra;https://www.telecontact.ma/annonceur/pharmacie-alhambra-/2196411/casablanca.php; 1 Bis, rue Omar El Idrissi ;33.5836, -7.60468;05 22 45 07 24 
147;Pharmacie Alhikma;https://www.telecontact.ma/annonceur/pharmacie-alhikma-/2145686/casablanca.php; 8, rue Abou Al Alaa Zahar -ex Vésale ;33.5737, -7.6162;05 22 86 55 51 
148;Pharmacie Ali;https://www.telecontact.ma/annonceur/pharmacie-ali-/3058546/casablanca.php; rte 1029 , Km 4,6 Ouled Haddou Sidi Maârouf;33.5026911395615, -7.659127941547354;05 22 97 39 28 
149;Pharmacie Alihsan;https://www.telecontact.ma/annonceur/pharmacie-alihsan-/1400100/casablanca.php; hay Salama I, grp.5 rue 12 n°123;33.56494786891295, -7.558312157817113;05 22 59 91 93 
150;Pharmacie Alinara;https://www.telecontact.ma/annonceur/pharmacie-alinara-/1455300/casablanca.php; 921, avenue du Deux Mars ;33.536398770, -7.596808920;05 22 21 40 32 
151;Pharmacie Alirchad;https://www.telecontact.ma/annonceur/pharmacie-alirchad-/2158958/casablanca.php; hay Yasmina, rue 51 n°34;33.53909423435821, -7.584466314097654;05 22 50 21 69 
152;Pharmacie Alj;https://www.telecontact.ma/annonceur/pharmacie-alj-/1223200/casablanca.php; 279, bd Abdelmoumen ;33.57, -7.62583;05 22 86 06 54 
153;Pharmacie Alkhansa;https://www.telecontact.ma/annonceur/pharmacie-alkhansa-/0287500/casablanca.php; 218, avenue Mers Sultan ;33.5839, -7.61556;05 22 22 25 44 
154;Pharmacie Alkhayam;https://www.telecontact.ma/annonceur/pharmacie-alkhayam-/1795800/casablanca.php; 24, bd Smara ;33.53932301306818, -7.593683946460806;05 22 50 29 39 
155;Pharmacie Alkhayria;https://www.telecontact.ma/annonceur/pharmacie-alkhayria-/2109974/casablanca.php; avenue El Maati Ben Ziad H.Sadri, imm.A n°1;33.5628, -7.56172;05 22 70 66 11 
156;Pharmacie Alkhozama;https://www.telecontact.ma/annonceur/pharmacie-alkhozama-/2215394/casablanca.php; bd Oqba Bnou Nafiaa, hay Antaria 1;33.57990690699064, -7.55731876152883;05 22 62 48 48 
157;Pharmacie Almaha;https://www.telecontact.ma/annonceur/pharmacie-almaha-/2110286/casablanca.php; 4, bd Panoramique ang. bd Mohamed VI;33.55698182921474, -7.59579704690014;05 22 52 09 79 
158;Pharmacie Alouard;https://www.telecontact.ma/annonceur/pharmacie-alouard-/2110080/casablanca.php; 55, bd Oued Sebou ;33.56122222222, -7.675327777778;05 22 90 53 45 
159;Pharmacie Alouati;https://www.telecontact.ma/annonceur/pharmacie-alouati-/1222700/casablanca.php; bd du Fouarat, lot.16, Capeluto, rue 1;33.58079239832641, -7.5567537943794605;05 22 60 16 75 
160;Pharmacie Aloum;https://www.telecontact.ma/annonceur/pharmacie-aloum-/1455500/casablanca.php; bd Anoual -ex Felix Faure ;33.569507, -7.628521;05 22 25 29 29 
161;Pharmacie Alwahda;https://www.telecontact.ma/annonceur/pharmacie-alwahda-/1625700/casablanca.php; avenue Docteur Moulasim Bouafi, hay Jamila II (Cité Djemaa);33.5488, -7.58327;05 22 37 07 16 
162;Pharmacie Alwarda;https://www.telecontact.ma/annonceur/pharmacie-alwarda-/2110094/casablanca.php; Derb Warda (H. Hassani), rue 1 bloc 1 n°19/21;33.57358599680011, -7.681697343759879;05 22 91 34 37 
163;Pharmacie Alwiam;https://www.telecontact.ma/annonceur/pharmacie-alwiam-/2109998/casablanca.php; hay Jamila II (cité Djemaa), rue 19 n°15, 17;33.549821940656074, -7.581896906187467;05 22 38 60 76 
164;Pharmacie Aman;https://www.telecontact.ma/annonceur/pharmacie-aman-/3109800/casablanca.php; hay El Osra II, Lot. Khadija rue 17 n°10;33.53588360994826, -7.577197419282446;05 22 52 47 00 
165;Pharmacie Amina;https://www.telecontact.ma/annonceur/pharmacie-amina-/0281800/casablanca.php; 180, avenue C, hay Takadoum;33.563703510, -7.673476320;05 22 62 06 16 
166;Pharmacie Amine;https://www.telecontact.ma/annonceur/pharmacie-amine-/2210570/casablanca.php; 65, lotiss. Amine , rte de Bouskoura Sidi Maârouf;33.517534091402624, -7.653390696464498;05 22 97 25 85 
167;Pharmacie An-nia;https://www.telecontact.ma/annonceur/pharmacie-an-nia-/3085715/casablanca.php; lotiss. Assafa, imm. 18 n° 4 A hay El Oulfa;33.54153778791817, -7.68772874278568;05 22 93 46 33 
168;Pharmacie Anafé;https://www.telecontact.ma/annonceur/pharmacie-anaf-/2110252/casablanca.php; 37, rue Félix et Max Guedj ;33.5951, -7.62141;05 22 27 41 94 
169;Pharmacie Anassi;https://www.telecontact.ma/annonceur/pharmacie-anassi-/3077721/casablanca.php; lot. Anassi, Grp. 7, Ahl Loghlam, n°1, Rdc;33.5869, -7.50148;05 22 73 73 63 
170;Pharmacie Andalous;https://www.telecontact.ma/annonceur/pharmacie-andalous-/0281900/casablanca.php; 394, bd Panoramique ang. av. 2 Mars;33.55398336551593, -7.603736442269391;05 22 21 17 85 
171;Pharmacie Anfa Bay;https://www.telecontact.ma/annonceur/pharmacie-anfa-bay-/3282187/casablanca.php; hay Hassani, rue 29 n°135;33.56933945843312, -7.696156179686795;05 22 91 07 91 
172;Pharmacie Anfaplace;https://www.telecontact.ma/annonceur/pharmacie-anfaplace-/3263408/casablanca.php; c. com. Anfaplace bd de la Corniche ;33.598386252070384, -7.664618313583333;05 22 79 70 31 
173;Pharmacie Anissa;https://www.telecontact.ma/annonceur/pharmacie-anissa-/3011285/casablanca.php; lotiss. Zoubeir, grp. Addoha n°312;33.539345771749765, -7.684410179682004;05 22 89 34 94 
174;Pharmacie Annahda;https://www.telecontact.ma/annonceur/pharmacie-annahda-/3263936/casablanca.php; hay Sidi Moumen, lotiss. Annahda1, Gh 6, imm. 34 n°1;33.59091883108193, -7.502111768504392;05 22 75 12 34 
175;Pharmacie Annajat;https://www.telecontact.ma/annonceur/pharmacie-annajat-/3017781/casablanca.php; bd de Meknès, imm. J, n°21 hay Inara I;33.53857258543358, -7.5946024637669725;05 22 52 73 99 
176;Pharmacie Annasr;https://www.telecontact.ma/annonceur/pharmacie-annasr-/3076720/casablanca.php; hay El Oulfa, Assalam II, Imm 3, Gh4;33.54702150026802, -7.6749402429389875;05 22 93 28 13 
177;Pharmacie Annassim;https://www.telecontact.ma/annonceur/pharmacie-annassim-/2206377/casablanca.php; 62, avenue Oued Daoura, lotiss. Habiba;33.54099722222, -7.676786111111;05 22 90 39 12 
178;Pharmacie Anoual;https://www.telecontact.ma/annonceur/pharmacie-anoual-/3115803/casablanca.php; allée du Lion ang.bd. Anoual;33.568996, -7.617686;05 22 86 11 20 
179;Pharmacie Anouari;https://www.telecontact.ma/annonceur/pharmacie-anouari-/3269880/casablanca.php; hay Massira III, rue 58 n°5;33.55909423941776, -7.544214403411161;05 22 71 76 79 
180;Pharmacie Aourir;https://www.telecontact.ma/annonceur/pharmacie-aourir-/3038505/casablanca.php; 52, rue Lagramta - ex Le Cornec ;33.55841453398498, -7.6315946266882815;05 22 99 31 23 
181;Pharmacie Arafat;https://www.telecontact.ma/annonceur/pharmacie-arafat-/3267920/casablanca.php; lot. El Azhar, résid. Madinati, Gh 11, imm. 6, mag. 1;33.603946, -7.486839;05 22 74 07 24 
182;Pharmacie Araucaria;https://www.telecontact.ma/annonceur/pharmacie-araucaria-/3012266/casablanca.php; 42, rue d' Ifrane - ex Toulouse ;33.5709, -7.66027;05 22 36 13 05 
183;Pharmacie Areski;https://www.telecontact.ma/annonceur/pharmacie-areski-/3012546/casablanca.php; hay Amal I (AlFida), rue 8, n°59;33.56886647653441, -7.594203330753771;05 22 85 32 16 
184;Pharmacie Argane;https://www.telecontact.ma/annonceur/pharmacie-argane-/2175780/casablanca.php; 199, bd de Bordeaux ;33.60019385355058, -7.637688215864024;05 22 49 21 71 
185;Pharmacie Arij;https://www.telecontact.ma/annonceur/pharmacie-arij-/3056134/casablanca.php; 5, quartier Californie, bd Demmame;33.5452786189574, -7.637449927805392;05 22 21 90 07 
186;Pharmacie Arraefa;https://www.telecontact.ma/annonceur/pharmacie-arraefa-/3005305/casablanca.php; 66 Bis, allée des Casuarinas ;33.61402566501724, -7.544318706049486;05 22 35 27 40 
187;Pharmacie Arrahma;https://www.telecontact.ma/annonceur/pharmacie-arrahma-/2129509/casablanca.php; hay Rahma, rue 23 n°49 , c. com. 2;33.56618824432819, -7.532072043200742;05 22 70 01 95 
188;Pharmacie Arrazi;https://www.telecontact.ma/annonceur/pharmacie-arrazi-/0282200/casablanca.php; 153, rue des Anglais ;33.5981, -7.62362;05 22 26 13 03 
189;Pharmacie Arrimal Addahabia;https://www.telecontact.ma/annonceur/pharmacie-arrimal-addahabia-/3158192/casablanca.php; 41, allée des Mûriers (Aïn Sebâa) ;33.61736722171251, -7.536908951036679;05 22 34 00 74 
190;Pharmacie Arrochd;https://www.telecontact.ma/annonceur/pharmacie-arrochd-/3164995/casablanca.php; hay Nassim, mosquée Fatna Bakchane n° 2;33.525453513136604, -7.65850875777744;05 22 89 39 89 
191;Pharmacie Arsalane;https://www.telecontact.ma/annonceur/pharmacie-arsalane-/0282300/casablanca.php; 114, bd Hassan El Alaoui ;33.58481431507725, -7.5807301625579235;05 22 62 11 71 
192;Pharmacie Askia;https://www.telecontact.ma/annonceur/pharmacie-askia-/3253429/casablanca.php; 4, cité Plateau, résid. Andaloussia E 74;33.56875401234338, -7.633183634522993;05 22 25 93 20 
193;Pharmacie Asmaa;https://www.telecontact.ma/annonceur/pharmacie-asmaa-/3084525/casablanca.php; derb Sidi El Khadir, lotiss. Nour n°98;33.565523038682215, -7.691019006250826;05 22 93 00 41 
194;Pharmacie Assabah;https://www.telecontact.ma/annonceur/pharmacie-assabah-/2110197/casablanca.php; 283, bd Lalla Asmaa - ex G, grp. 6 sidi moumen Jdid;33.5819, -7.54397;05 22 70 03 17 
195;Pharmacie Assabr;https://www.telecontact.ma/annonceur/pharmacie-assabr-/3004463/casablanca.php; hay Moulay Rachid, grp. 6 rue 38 N°9;33.567046458714124, -7.527525698920499;05 22 70 18 94 
196;Pharmacie Assafa;https://www.telecontact.ma/annonceur/pharmacie-assafa-/3276574/casablanca.php; lotiss. Assafa, rue 15 n°148 rte My Thami;33.5502069133121, -7.689877128382932;05 22 90 16 05 
197;Pharmacie Assala;https://www.telecontact.ma/annonceur/pharmacie-assala-/3013893/casablanca.php; hay Moulay Rachid Grp. 4 Rue B N°243;33.57058873771969, -7.540258145114194;05 22 70 13 88 
198;Pharmacie Assia;https://www.telecontact.ma/annonceur/pharmacie-assia-/1398700/casablanca.php; hay Amal II (AlFida) rue 42, n°76;33.57044797091952, -7.591678837962377;05 22 85 42 71 
199;Pharmacie Assidk;https://www.telecontact.ma/annonceur/pharmacie-assidk-/2155979/casablanca.php; hay Moulay Rachid, grp. 5, rue 15 n°36;33.56815050321727, -7.529349601050626;05 22 70 92 77 
200;Pharmacie Assiha;https://www.telecontact.ma/annonceur/pharmacie-assiha-/3201961/casablanca.php; quartier Beausite, résid. Al Amane 2;33.59239, -7.53732;05 22 67 41 52 
201;Pharmacie Assim;https://www.telecontact.ma/annonceur/pharmacie-assim-/3100914/casablanca.php; quartier Beausite, 57, lot. Essalam;33.599888399409565, -7.536940428073876;05 22 35 86 26 
202;Pharmacie Aswak AlJoumla;https://www.telecontact.ma/annonceur/pharmacie-aswak-aljoumla-/3076793/casablanca.php; avenue du Dix Mars, lotiss. Fadi, n°29;33.55190709846068, -7.5524570796234585;05 22 59 45 82 
203;Pharmacie Athina;https://www.telecontact.ma/annonceur/pharmacie-athina-/3200926/casablanca.php; cité Chabab, grp. C 2 n°7 Ain Sebaa;33.604514677698674, -7.5207876897764425;05 22 73 74 73 
204;Pharmacie Attacharouk;https://www.telecontact.ma/annonceur/pharmacie-attacharouk-/3098562/casablanca.php; hay Alwalaa, 2° tranche, imm. 13 n°2;33.57273272385164, -7.5248092191204705;05 22 70 93 43 
205;Pharmacie Attakwa;https://www.telecontact.ma/annonceur/pharmacie-attakwa-/2203710/casablanca.php; derb Friha (cité Djemaa), rue n°20;33.553227639609915, -7.572733588694064;05 22 56 19 35 
206;Pharmacie Attaoune;https://www.telecontact.ma/annonceur/pharmacie-attaoune-/3135777/casablanca.php; derb Sidi El Khadir ang. rue 42/43 n°7 et 20;33.56740597331731, -7.684501238344637;05 22 90 24 46 
207;Pharmacie Attawfiq;https://www.telecontact.ma/annonceur/pharmacie-attawfiq-/2182407/casablanca.php; 11, bd Oued Moulouya ;33.555281548937735, -7.6811256532922325;05 22 90 00 53 
208;Pharmacie Attawhid;https://www.telecontact.ma/annonceur/pharmacie-attawhid-/2110155/casablanca.php; hay Sadri (Bournazel), bloc 3 rue 10 n°33;33.570886373076334, -7.551049624853476;05 22 70 80 42 
209;Pharmacie Attenmia;https://www.telecontact.ma/annonceur/pharmacie-attenmia-/3158520/casablanca.php; résid. Soufiane , imm. B2, Sidi Maârouf;33.52182049297292, -7.647931200888024;05 22 58 47 77 
210;Pharmacie Attioui;https://www.telecontact.ma/annonceur/pharmacie-attioui-/3001974/casablanca.php; derb El Kheir, rue 1 N°6;33.604, -7.62148;05 22 52 08 42 
211;Pharmacie Attissir;https://www.telecontact.ma/annonceur/pharmacie-attissir-/2129532/casablanca.php; lot. Famille Française, rue 93 n°57;33.576189072053346, -7.6327598239708;05 22 25 93 63 
212;Pharmacie Avenue Naciri;https://www.telecontact.ma/annonceur/pharmacie-avenue-naciri-/3331973/casablanca.php; 253, bd Mohamed Taieb Naciri ;33.550560686436626, -7.67051801086734;05 22 69 20 42 
213;Pharmacie Aya;https://www.telecontact.ma/annonceur/pharmacie-aya-/3076795/casablanca.php; lotiss. Ennour, rue 2 n°73 av Abdelkader Essahraoui;33.55019800265143, -7.554779961280815;05 22 59 44 55 
214;Pharmacie Aya Anassi;https://www.telecontact.ma/annonceur/pharmacie-aya-anassi-/3335854/casablanca.php; hay Sidi Moumen, cplexe bab Anassi 2, n°166 imm.12 grp 11;NO COORDINATES;05 22 75 80 04 
215;Pharmacie Aymane;https://www.telecontact.ma/annonceur/pharmacie-aymane-/3203174/casablanca.php; 3 Bis, rue Henri Murget, résid. Talbi III;33.57465750126452, -7.636896930832975;05 22 99 69 21 
216;Pharmacie Ayour;https://www.telecontact.ma/annonceur/pharmacie-ayour-/3077595/casablanca.php; 54, avenue Lhoussine Assoussi, lot Annasr Yamna;33.5816, -7.53573;05 22 72 62 50 
217;Pharmacie Azhar Oulfa;https://www.telecontact.ma/annonceur/pharmacie-azhar-oulfa-/3344522/casablanca.php; lot. Azhari II, GH 8, imm. 44 mag. n°4;NO COORDINATES;05 22 69 55 62 
218;Pharmacie Azrour;https://www.telecontact.ma/annonceur/pharmacie-azrour-/0282700/casablanca.php; 792, bd El Fida Prolongé ;33.5728, -7.59077;05 22 81 16 36 
219;Pharmacie Azzahra;https://www.telecontact.ma/annonceur/pharmacie-azzahra-/3299300/casablanca.php; hay El Oulfa, c.comm. Al Azhar GH. A2 mag. n° 16;33.547467, -7.696685;05 22 65 82 47 
220;Pharmacie Aïn Chifaa;https://www.telecontact.ma/annonceur/pharmacie-aon-chifaa-/1168400/casablanca.php; 128, bd Aba Chouaïb Doukali, Aïn Chifaa II;33.57021070446909, -7.582027230772867;05 22 81 16 97 
221;Pharmacie Aïn-Diab;https://www.telecontact.ma/annonceur/pharmacie-aon-diab-/2183357/casablanca.php; rue de la Mer Jaune -ex Cap Ferrat ;33.5944, -7.67646;05 22 79 80 13 
222;Pharmacie Ba Hmad;https://www.telecontact.ma/annonceur/pharmacie-ba-hmad-/0333000/casablanca.php; 82, bd Ba Hmad ;33.5947, -7.58674;05 22 24 75 39 
223;Pharmacie Bab Al Azhar;https://www.telecontact.ma/annonceur/pharmacie-bab-al-azhar-/3344610/casablanca.php; hay Hassani, GH 69, résid. Al Azhar, mag. n°5;NO COORDINATES;05 22 91 48 04 
224;Pharmacie Bab AlMaghariba;https://www.telecontact.ma/annonceur/pharmacie-bab-almaghariba-/3300158/casablanca.php; lot. Anassi, groupe 2 imm. 7 mag. 1;NO COORDINATES;06 43 09 44 85 
225;Pharmacie Bab Essalam;https://www.telecontact.ma/annonceur/pharmacie-bab-essalam-/2165062/casablanca.php; 27, Av de l' Atlas -ex Ile de France ;33.5760105694695, -7.65591412423644;05 22 94 15 14 
226;Pharmacie Bab Lahraouine;https://www.telecontact.ma/annonceur/pharmacie-bab-lahraouine-/1421900/casablanca.php; 1003, avenue du Cdt Driss Lharti - ex A, lot. n°7;33.5594, -7.55474;05 22 37 21 92 
227;Pharmacie Bab Lamsalla;https://www.telecontact.ma/annonceur/pharmacie-bab-lamsalla-/3132374/casablanca.php; hay Moulay Abdallah, rue 15 n°7;33.54674203899799, -7.600302076121579;05 22 87 29 99 
228;Pharmacie Bab Marrakech;https://www.telecontact.ma/annonceur/pharmacie-bab-marrakech-/0282800/casablanca.php; 1, place de Marrakech ;33.598144000, -7.621547000;05 22 26 12 07 
229;Pharmacie Bab Salmia;https://www.telecontact.ma/annonceur/pharmacie-bab-salmia-/3299785/casablanca.php; avenue Joulan - ex D, imm. K, Salmia 2;NO COORDINATES;05 22 56 96 22 
230;Pharmacie Bab Taddart;https://www.telecontact.ma/annonceur/pharmacie-bab-taddart-/3142928/casablanca.php; 193, bd El Hachemi El Filali ;33.55980654897766, -7.626028949343653;05 22 80 49 14 
231;Pharmacie Bachkou;https://www.telecontact.ma/annonceur/pharmacie-bachkou-/2183101/casablanca.php; lotiss. Bachkou, projet Erac 47-48;33.555325731400266, -7.629345035334836;05 22 83 35 45 
232;Pharmacie Badia;https://www.telecontact.ma/annonceur/pharmacie-badia-/3121772/casablanca.php; bd Abdelhadi Boutaleb ex rte d'Azemmour, résid. la Corniche EQ3 Zone 3;33.57236175040508, -7.68917901086661;05 22 91 38 73 
233;Pharmacie Badr;https://www.telecontact.ma/annonceur/pharmacie-badr-/0882800/casablanca.php; 221, rue Tnaker, abc.Médina;33.6024, -7.62125;05 22 27 85 70 
234;Pharmacie Baghouil;https://www.telecontact.ma/annonceur/pharmacie-baghouil-/2109985/casablanca.php; 38, bd Nassiba Bent Kaab ;33.5787, -7.54615;05 22 70 27 26 
235;Pharmacie Bahja;https://www.telecontact.ma/annonceur/pharmacie-bahja-/2110165/casablanca.php; derb El Kheir, rue 135 n°129 et 131;33.604, -7.62148;05 22 21 31 54 
236;Pharmacie Bakali;https://www.telecontact.ma/annonceur/pharmacie-bakali-/2184821/casablanca.php; 1057, avenue du Deux Mars ;33.536190600, -7.596614880;05 22 50 57 90 
